date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:24	42/42	---M--	200	added ('OK')	text/plain	etag:%222a-59eb816213780%22	https://sanigel.ru/robots.txt		(from )
14:30:25	16991/-1	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2011:30:25%20GMT	https://sanigel.ru/	E:/sanigel/sa/web/4md4a516.html	(from )
14:30:25	13735/13735	---M--	200	added ('OK')	text/css	etag:%225e49b36e-35a7%22	https://sanigel.ru/css/jquery.fancybox.min.css	E:/sanigel/sa/web/w6xkjl-s.css	(from https://sanigel.ru/)
14:30:26	8528/8528	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222150-5a19684d0dc40%22	https://sanigel.ru/favicon.ico	E:/sanigel/sa/web/wycoiy6e.ico	(from https://sanigel.ru/)
14:30:26	4614/-1	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Apr%202020%2011:30:26%20GMT	https://sanigel.ru/news/rss/	E:/sanigel/sa/web/024knf1h.html	(from https://sanigel.ru/)
14:30:26	855/855	---M--	200	added ('OK')	text/css	etag:%225e49b36e-357%22	https://sanigel.ru/adm/css/errors.css	E:/sanigel/sa/web/guni55dw.css	(from https://sanigel.ru/)
14:30:27	26297/26297	---M--	200	added ('OK')	text/css	etag:%225e49b36e-66b9%22	https://sanigel.ru/css/custom-theme/jquery-ui-1.8.18.custom.css	E:/sanigel/sa/web/-h7crnrm.css	(from https://sanigel.ru/)
14:30:27	1887/1887	---M--	200	added ('OK')	text/css	etag:%225e7a3f5d-75f%22	https://sanigel.ru/custom/my/css/default.css	E:/sanigel/sa/web/h3coc5xz.css	(from https://sanigel.ru/)
14:30:28	22545/22545	---M--	200	added ('OK')	text/css	etag:%225e7b4767-5811%22	https://sanigel.ru/custom/my/css/style.css	E:/sanigel/sa/web/18kkvf4y.css	(from https://sanigel.ru/)
14:30:28	5754/5754	---M--	200	added ('OK')	text/javascript	etag:%222fc59a5de14dd1e6d6a2e63e5f29af6f%22	https://kit.fontawesome.com/37c5047cf0.js	E:/sanigel/sa/web/k55h52je.js	(from https://sanigel.ru/)
14:30:28	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Apr%202020%2011:30:29%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	E:/sanigel/sa/web/ga0gu3ji.delayed	(from https://sanigel.ru/)
14:30:29	30895/30895	---M--	200	added ('OK')	image/png	etag:%225e7b1a4a-78af%22	https://sanigel.ru/custom/my/img/logo.png	E:/sanigel/sa/web/n9pf_kno.png	(from https://sanigel.ru/)
14:30:30	200262/200262	---M--	200	added ('OK')	application/pdf	etag:%2230e46-5a1abe2c58d96%22	https://sanigel.ru/userfls/ufiles/GS_Instruction.pdf	E:/sanigel/sa/web/gwysjktm.pdf	(from https://sanigel.ru/)
14:30:31	68307/68307	---M--	200	added ('OK')	image/jpeg	etag:%225e7b2cc6-10ad3%22	https://sanigel.ru/userfls/photo/large/27_greenfield-spray-1000-ml.jpg	E:/sanigel/sa/web/iao7xhb9.jpg	(from https://sanigel.ru/)
14:30:31	2083589/2083589	---M--	200	added ('OK')	video/mp4	etag:%221fcb05-5a23d5ce883c0%22	https://sanigel.ru/custom/my/video/gs_web_light.mp4	E:/sanigel/sa/web/6hgseb1e.mp4	(from https://sanigel.ru/)
14:30:32	966693/966693	---M--	200	added ('OK')	image/png	etag:%225e7b1bf1-ec025%22	https://sanigel.ru/custom/my/img/item.png	E:/sanigel/sa/web/gutkp9ur.png	(from https://sanigel.ru/)
